City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
230,Jalu,LY,82.04,29.0331,21.5482,broken clouds,صاحبة الفخامة
231,Bac Lieu,VN,81.97,9.285,105.7244,overcast clouds,Khách sạn Sài Gòn Bạc Liêu
232,Qandala,SO,84.76,11.472,49.8728,overcast clouds,
235,Murwara,IN,87.73,23.85,80.4,broken clouds,HOTEL BRIJWASI ROYAL
236,Honiara,SB,85.39,-9.4333,159.95,overcast clouds,Heritage Park Hotel
240,Bairiki,KI,84.2,1.3292,172.9752,broken clouds,Tarawa Boutique Hotel
241,Kerema,PG,81.64,-7.9631,145.7785,overcast clouds,Frena Lodge
243,Kigoma,TZ,71.98,-4.8769,29.6267,moderate rain,MJI Mwema Lodge
244,Meulaboh,ID,77.2,4.1363,96.1285,broken clouds,Kost Pria
246,Monte Alegre,BR,75.87,-2.0078,-54.0692,overcast clouds,Hotel Shekinah
248,San Cristobal,VE,73.58,7.7669,-72.225,overcast clouds,Pirineos
250,Diamantino,BR,79.36,-14.4086,-56.4461,broken clouds,Hotel Delta
254,Souillac,MU,71.98,-20.5167,57.5167,scattered clouds,Shanti Maurice Resort & Spa
255,Sinjai,ID,77.07,-5.1241,120.253,scattered clouds,Wisma Sandika
256,Montelibano,CO,76.95,7.9829,-75.4229,overcast clouds,Montelíbano Plaza Hotel
259,Palora,EC,75.31,-1.7,-77.9333,light rain,Rancho grande
261,Sao Miguel Do Araguaia,BR,76.24,-13.275,-50.1628,clear sky,Hotel Executivo Palace
263,Kuching,MY,75.42,1.55,110.3333,few clouds,Hilton Kuching
264,Alice Springs,AU,76.55,-23.7,133.8833,scattered clouds,Desert Palms Alice Springs
266,Tchaourou,BJ,76.5,8.8865,2.5975,overcast clouds,SAFIR HOTEL
270,Road Town,VG,77.09,18.4167,-64.6167,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
273,Samarai,PG,82.72,-10.6167,150.6667,few clouds,Nuli Sapi
278,Warri,NG,76.48,5.5167,5.75,overcast clouds,BON Hotel Delta
280,Sire,NG,86.49,12.9299,5.2043,few clouds,
284,Batticaloa,LK,79.92,7.7102,81.6924,overcast clouds,Grand Star Guest House
285,Quatre Cocos,MU,75.09,-20.2078,57.7625,clear sky,Sunrise Attitude Hotel
287,Saint George,US,83.62,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
288,Oildale,US,71.62,35.4197,-119.0195,clear sky,DoubleTree by Hilton Hotel Bakersfield
297,Mbini,GQ,78.87,1.574,9.6134,scattered clouds,
298,Mlonggo,ID,80.62,-6.5333,110.7,moderate rain,Asia Metal Art
300,Kununurra,AU,80.58,-15.7667,128.7333,overcast clouds,Hotel Kununurra
305,Pilar,BR,76.93,-9.5972,-35.9567,overcast clouds,Pousada e churrascaria Manguaba
307,Grand Gaube,MU,75.38,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
311,Banting,MY,77.14,2.8167,101.5,scattered clouds,Hotel Intan Jugra
314,Iralaya,HN,78.85,15.0,-83.2333,clear sky,Iglesia morava renovada
316,Sao Bento,BR,72.82,-6.2833,-37.75,scattered clouds,
318,Jobner,IN,90.82,26.9667,75.3833,clear sky,Srk Jobner Hostel
319,Puerto El Triunfo,SV,86.92,13.2833,-88.55,broken clouds,Hotel Jardin
320,Gondanglegi,ID,75.36,-7.7479,112.0132,broken clouds,pondok pesantren mamba'ul 'ulum selo rejo
322,Gonzales,US,82.08,30.2385,-90.9201,clear sky,Hampton Inn Gonzales
323,Bitung,ID,77.85,1.4451,125.1824,overcast clouds,K2 Lembeh
327,Guapi,CO,77.92,2.5708,-77.8854,moderate rain,Hotel Emperador Guapí
328,Karratha,AU,71.78,-20.7377,116.8463,light rain,ibis Styles Karratha
329,Georgetown,MY,78.75,5.4112,100.3354,few clouds,Cititel Penang
330,Carora,VE,76.93,10.1755,-70.0827,light rain,Hotel Irpinia
331,Bouake,CI,76.53,7.6895,-5.0218,overcast clouds,Hotel Residence Nannan
332,Konongo,GH,72.93,6.6167,-1.2167,overcast clouds,Alice Tee Hotel
334,Padang,ID,77.05,-0.9492,100.3543,overcast clouds,Mercure Padang
336,Punto Fijo,VE,80.17,11.6956,-70.1996,broken clouds,Santa Fe Inn Hotel
339,Ballina,AU,71.78,-28.8667,153.5667,light rain,Ramada Hotel & Suites by Wyndham Ballina Byron
340,Flinders,AU,73.38,-34.5833,150.8552,clear sky,Shellharbour Resort & Conference Centre
341,Tamboril,DO,77.77,19.4854,-70.611,broken clouds,Camp David Ranch Restaurant
342,Puerto Escondido,MX,85.03,15.85,-97.0667,scattered clouds,Aldea del Bazar Hotel and Spa
344,San Patricio,US,83.16,28.017,-97.5169,few clouds,"Motel 6 Sinton, TX"
346,Zwedru,LR,73.67,6.0667,-8.1281,overcast clouds,Elijah Worjloh
348,Bathsheba,BB,79.41,13.2167,-59.5167,scattered clouds,Atlantis Hotel
350,Niquero,CU,78.19,20.0431,-77.5828,broken clouds,Islazul Niquero
352,Mitu,CO,74.17,1.1983,-70.1733,light rain,
355,Canutama,BR,79.3,-6.5339,-64.3831,overcast clouds,Hotel Jhennifer
358,Namatanai,PG,84.51,-3.6667,152.4333,overcast clouds,Seagulls Inn Namatani
367,Arraial Do Cabo,BR,77.29,-22.9661,-42.0278,clear sky,Pousada Porto Praia
369,Mayumba,GA,77.67,-3.432,10.6554,overcast clouds,LIKWALE LODGE
371,Tiarei,PF,84.22,-17.5333,-149.3333,light rain,Le Rocher de Tahiti
377,Port-Gentil,GA,80.56,-0.7193,8.7815,light rain,Fengshui Residence
378,Sinnamary,GF,78.4,5.3833,-52.95,broken clouds,ALETHEIA Appartement Sinnamary
383,Marawi,PH,71.58,7.9986,124.2928,overcast clouds,Derogongan Residence
390,Bhainsa,IN,90.63,26.9548,76.9012,broken clouds,Rizwan pathan
391,Nouakchott,MR,75.13,18.0858,-15.9785,clear sky,HOTEL IMAN
392,Payo,ID,72.19,-3.7508,103.6372,light rain,Mess keban agung
393,Makakilo City,US,84.52,21.3469,-158.0858,clear sky,Marriott's Ko Olina Beach Club
395,Vihari,PK,87.96,30.0333,72.35,clear sky,Al Shafi
396,Morant Bay,JM,82.02,17.8815,-76.4093,scattered clouds,Whispering Bamboo Cove Resort
397,Goundam,ML,84.15,16.4145,-3.6708,few clouds,
401,Moerai,PF,80.04,-22.4333,-151.3333,clear sky,Le Manotel
403,Puri,IN,82.92,19.8,85.85,clear sky,OYO 1577 Hotel Shree Hari Grand
404,Indramayu,ID,79.59,-6.3264,108.32,broken clouds,Grand Trisula Hotel
408,Yulara,AU,73.24,-25.2406,130.9889,overcast clouds,Desert Gardens Hotel - Ayers Rock Resort
418,Emerald,AU,73.54,-23.5333,148.1667,clear sky,The Irish Village
421,Tecpatan,MX,76.37,17.1333,-93.3,overcast clouds,Casa San Miguel
422,Sao Filipe,CV,71.64,14.8961,-24.4956,clear sky,Hotel Xaguate
423,Botro,CI,75.72,7.8525,-5.3106,overcast clouds,Motel de la Station BOTRO
425,Lompoc,US,72.57,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
426,Cabrobo,BR,78.84,-8.5142,-39.31,overcast clouds,Hotel Limarques
430,Ahuatempan,MX,81.7,18.4167,-98.0167,clear sky,casa de huespedes BRAVO
433,Pitimbu,BR,77.59,-7.4706,-34.8086,scattered clouds,Reserva do Abiaí
437,Auki,SB,84.63,-8.7676,160.7034,overcast clouds,Auki Motel
438,Coahuayana,MX,87.26,18.7333,-103.6833,clear sky,El rranchito michuacan de ocampos
441,Baherden,TM,74.55,38.4362,57.4316,clear sky,
445,Natagaima,CO,80.87,3.6206,-75.0941,broken clouds,Mi Hotel El Gran Palacio- Nury
447,Mitsamiouli,KM,80.83,-11.3847,43.2844,light rain,Foyer ADM
449,Howard Springs,AU,80.82,-12.497,131.047,broken clouds,buffalo beach hostel
452,Kimbe,PG,84.27,-5.5502,150.1429,overcast clouds,Kimbe Bay Hotel
453,Chalmette,US,79.0,29.9427,-89.9634,clear sky,Marina Inn & Suites Chalmette-New Orleans
457,Cururupu,BR,74.79,-1.8283,-44.8683,overcast clouds,POUSADA TRAVÉS'CIA
459,Cabo San Lucas,MX,85.6,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
460,Oum Hadjer,TD,89.56,13.2954,19.6966,broken clouds,
463,Chabahar,IR,84.13,25.2919,60.643,few clouds,هتل گدروشیا
465,That Phanom,TH,79.41,16.9364,104.7104,light rain,ณ ธาตุพนมเพลส Na That Panom Place Hotel
466,Cerritos,US,73.2,33.8583,-118.0648,few clouds,Sheraton Cerritos Hotel
467,Tabou,CI,80.38,4.423,-7.3528,overcast clouds,hotêl doufoulougou
468,Koutiala,ML,81.34,12.3917,-5.4642,overcast clouds,Hotel La Chaumiere
472,Coolum Beach,AU,74.07,-26.5333,153.1,overcast clouds,Coolum Beach Resort
473,Alyangula,AU,82.27,-13.8483,136.4192,overcast clouds,Groote Eylandt Lodge
476,Jambi,ID,74.8,-1.6,103.6167,overcast clouds,ASTON Jambi Hotel & Conference Center
478,Cayenne,GF,82.09,4.9333,-52.3333,broken clouds,Hôtel Le Dronmi
479,Ruwi,OM,87.49,23.5996,58.5507,clear sky,Al Falaj Hotel
484,Alofi,NU,82.29,-19.0595,-169.9187,light intensity drizzle,Taloa Heights
486,Luanda,AO,77.0,-8.8368,13.2343,scattered clouds,EPIC SANA Luanda
492,Monrovia,LR,79.77,6.3005,-10.7969,moderate rain,Sunset Inn
493,Sao Joao Da Barra,BR,76.6,-21.6403,-41.0511,clear sky,Pousada Porto De Canoas
496,Kavieng,PG,84.78,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
497,Kita,ML,87.73,13.0349,-9.4895,broken clouds,Hôtel Chat Rouge
498,Dodge City,US,79.05,37.7528,-100.0171,few clouds,Windsor Inn & Suites
499,Agua Preta,BR,73.09,-8.7075,-35.5306,overcast clouds,Motel Paraíso
500,Barao De Melgaco,BR,81.91,-16.1944,-55.9675,broken clouds,Tuiuiu Pantanal Hotel
502,Abu Kamal,SY,75.9,34.4506,40.9171,overcast clouds,محطة التلفاز
505,Adrar,MR,76.95,20.5022,-10.0711,clear sky,
508,Taungdwingyi,MM,84.2,20.0167,95.55,broken clouds,NayNaing MobileService
510,Iracoubo,GF,78.33,5.4802,-53.2011,broken clouds,Le Gîte d’Iracoubo
511,Ponerihouen,NC,71.11,-21.0833,165.4,moderate rain,Camping de Tiakan
515,Cap Malheureux,MU,75.47,-19.9842,57.6142,clear sky,Pereybere Hotel & Spa
520,Bela,IN,86.4,25.9333,81.9833,clear sky,Raj Bhawan
521,Thai Binh,VN,76.21,20.45,106.3333,overcast clouds,Sweden Hotel
523,Thinadhoo,MV,84.61,0.5333,72.9333,overcast clouds,
524,Sibolga,ID,76.3,1.7427,98.7792,overcast clouds,Hotel Syariah CN Darussalam
525,Pout,SN,72.36,14.7739,-17.0603,clear sky,chez sada niang
526,Cockburn Town,TC,75.18,21.4612,-71.1419,scattered clouds,Osprey Beach Hotel
531,Urucara,BR,77.09,-2.5364,-57.76,overcast clouds,Pousada Maria Bonita
535,Mahibadhoo,MV,84.61,3.7833,72.9667,overcast clouds,Omadhoo Inn
536,Sao Gabriel Da Cachoeira,BR,75.24,-0.1303,-67.0892,moderate rain,Alarne - Área De Lazer Do Alto Rio Negro
538,Kassala,SD,85.3,15.451,36.4,clear sky,Amassi Hotel Gash
541,Kupang,ID,77.92,-10.1667,123.5833,scattered clouds,Hotel On The Rock by Prasanthi
543,Krabi,TH,77.2,8.0726,98.9105,mist,Tharapark View Hotel
545,Coachella,US,88.68,33.6803,-116.1739,clear sky,Fantasy Springs Resort Casino
546,Dingle,PH,79.59,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
549,Rincon,US,71.56,32.296,-81.2354,broken clouds,Days Inn Rincon
551,Ternate,ID,80.85,0.8,127.4,overcast clouds,Sahid Bela Ternate Hotel
553,Itoman,JP,81.37,26.1247,127.6694,broken clouds,Southern Beach Hotel & Resort Okinawa
555,Takoradi,GH,78.66,4.8845,-1.7554,overcast clouds,Raybow International Hotel
557,Sadao,TH,76.82,6.6388,100.4234,broken clouds,Banana Resort Sadao
561,Saint-Georges,GD,80.28,12.0564,-61.7485,broken clouds,Radisson Grenada Beach Resort
564,Banda Aceh,ID,80.49,5.5577,95.3222,overcast clouds,OYO 884 Rumoh PMI Hotel
566,Esmeraldas,BR,74.26,-19.7625,-44.3139,few clouds,Bom Será - Marcinho e Fernanda
568,Santa Rosa,PH,86.09,14.3122,121.1114,overcast clouds,Erlyn’s Sta Rosa City Home
570,Salvador,SV,83.05,13.8333,-88.9167,broken clouds,Chico's Ranch
572,Lorengau,PG,83.95,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
579,Goure,NE,82.62,13.9835,10.2704,broken clouds,
580,Xuddur,SO,75.72,4.1213,43.8894,broken clouds,Banjanay Hotel
581,Itarema,BR,77.34,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
582,Paita,PE,70.25,-5.0892,-81.1144,broken clouds,Hotel Náutico de Paita
584,Hirara,JP,82.67,24.8,125.2833,few clouds,Hotel Atoll Emerald Miyakojima
585,Amli,IN,83.25,20.2833,73.0167,clear sky,Hotel Soubhagya Inn
587,Bilma,NE,86.7,18.6853,12.9164,broken clouds,Expeditions Ténére voyages
593,Victoria,HK,81.97,22.2855,114.1577,scattered clouds,Mini Hotel Central
595,Kieta,PG,85.12,-6.2167,155.6333,overcast clouds,Uruna Bay Retreat
596,Mount Pleasant,US,73.26,32.7941,-79.8626,clear sky,Best Western Patriots Point
598,Salalah,OM,84.29,17.0151,54.0924,broken clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
599,Torit,SS,70.97,4.4133,32.5678,overcast clouds,Diplomat Guest House
602,Lamesa,US,93.52,32.7376,-101.951,clear sky,Shiloh Inn Lamesa
607,Poya,NC,70.9,-21.35,165.15,overcast clouds,
608,Rockport,US,80.65,28.0206,-97.0544,clear sky,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
610,Biak,ID,78.82,-0.9131,122.8766,overcast clouds,Penginapan Kim
612,Batabano,CU,81.21,22.7164,-82.2881,few clouds,
615,Mbour,SN,72.45,14.422,-16.9638,clear sky,Tama Lodge
621,Hurghada,EG,71.76,27.2574,33.8129,clear sky,Sea Star Beau Rivage Hotel
622,Lake Charles,US,78.8,30.2131,-93.2044,scattered clouds,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
624,Sola,VU,81.16,-13.8833,167.55,overcast clouds,Leumerus Bungalows
628,Hargeysa,SO,73.2,9.56,44.065,broken clouds,City Center Hotel
629,Le Port,RE,75.2,-20.9373,55.2919,broken clouds,KORBEY D'OR OUEST
630,Lazaro Cardenas,MX,83.35,17.9583,-102.2,clear sky,HOTEL QUINTA ANTIGUA
633,Phuket,TH,88.12,8.0,98.25,scattered clouds,The Surin
634,Bubaque,GW,77.14,11.2833,-15.8333,scattered clouds,"Casa Dora, Bubaque"
639,Bowen,AU,77.34,-20.0167,148.2333,broken clouds,Castle Motor Lodge Motel
645,Semporna,MY,80.49,4.4818,118.6112,overcast clouds,"Han Palace Hotel, Semporna, Sabah."
649,Natal,BR,80.82,-5.795,-35.2094,scattered clouds,Villa Park Hotel | Natal
651,Redlands,US,73.31,34.0556,-117.1825,haze,Dynasty Suites Redlands
653,Ambilobe,MG,71.96,-13.2,49.05,broken clouds,Hôtel & Restaurant DIANA Ambilobe
656,Hobyo,SO,83.08,5.3505,48.5268,clear sky,Iftin hotel hobyo
657,Clarence Town,AU,72.61,-32.5833,151.7833,scattered clouds,River Downs Cottage
660,Mahajanga,MG,75.27,-15.7167,46.3167,broken clouds,Restaurant Greedy Coco Lodge Majunga
662,Praia,CV,70.34,14.9215,-23.5087,few clouds,LT Aparthotel
663,Kulhudhuffushi,MV,84.31,6.6221,73.07,few clouds,Haajy Guest House 1
669,Buala,SB,85.55,-8.145,159.5921,overcast clouds,Maringe Lagoon Lodge
670,Maksi,IN,84.27,23.2667,76.15,clear sky,Haweli Wala Baa
674,Alice Town,BS,77.04,25.7167,-79.3,clear sky,Bimini Big Game Club Resort & Marina
678,Morros,BR,75.31,-9.4467,-46.3003,overcast clouds,
679,Napasar,IN,82.44,27.9667,73.55,clear sky,Laxmi Palace
680,Morondava,MG,72.97,-20.2833,44.2833,clear sky,La Case Bambou
681,Puro,PH,82.6,12.4841,123.3827,overcast clouds,
683,Xique-Xique,BR,80.47,-10.8218,-42.7263,overcast clouds,Hotel J. Macedo
684,Pederneiras,BR,83.98,-22.3517,-48.775,clear sky,Hotel Trevise - Pederneiras
685,Atar,MR,77.7,20.5169,-13.0499,scattered clouds,Oumou Elghoura
690,Lahore,PK,82.38,31.5497,74.3436,haze,The Residency Hotel
692,Arinos,BR,79.05,-15.9169,-46.1056,broken clouds,casa do bruno
693,Klaten,ID,78.19,-7.7058,110.6064,overcast clouds,Tjokro Hotel Klaten
694,Isangel,VU,74.37,-19.55,169.2667,moderate rain,Tanna Lodge
695,Labuhan,ID,80.35,-6.8844,112.2051,broken clouds,DoubleFAG
699,Naifaru,MV,84.58,5.4444,73.3657,overcast clouds,Naifaru Residence Guest House
704,Butterworth,MY,78.85,5.3991,100.3638,few clouds,Cititel Penang
705,Sur,OM,87.26,22.5667,59.5289,broken clouds,Sur Plaza Hotel
706,Tual,ID,85.03,-5.6667,132.75,overcast clouds,Grand Vilia Hotel
709,Tirumullaivasal,IN,82.81,11.2333,79.8333,scattered clouds,
711,Robertsport,LR,78.89,6.7533,-11.3686,moderate rain,Kwepunha Retreat
712,Lake Havasu City,US,90.21,34.4839,-114.3224,clear sky,Heat Hotel
