City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Asyut,EG,2022-04-28 23:15:32,27.181,31.1837,77.76,10,43,3.2,scattered clouds
60,Loma Linda,US,2022-04-28 23:14:02,34.0484,-117.2611,75.11,49,40,7.0,haze
61,Kahului,US,2022-04-28 23:14:28,20.8947,-156.47,89.62,43,40,19.57,scattered clouds
62,Bethel,US,2022-04-28 23:15:33,41.3712,-73.414,52.48,35,4,11.99,clear sky
63,Thompson,CA,2022-04-28 23:15:33,55.7435,-97.8558,48.36,37,75,12.66,broken clouds
64,Baghdad,IQ,2022-04-28 23:15:34,33.3406,44.4009,76.91,44,75,9.22,dust
65,Kui Buri,TH,2022-04-28 23:15:34,12.0828,99.8543,79.99,87,100,4.07,light rain
66,Cabedelo,BR,2022-04-28 23:15:35,-6.9811,-34.8339,77.67,82,54,11.54,broken clouds
67,Arlit,NE,2022-04-28 23:15:35,18.7369,7.3853,79.81,7,3,9.06,clear sky
68,Jamestown,US,2022-04-28 23:15:35,42.097,-79.2353,45.01,39,0,10.36,clear sky
69,Ketchikan,US,2022-04-28 23:15:35,55.3422,-131.6461,54.07,50,0,9.22,clear sky
70,Tilichiki,RU,2022-04-28 23:15:36,60.4667,166.1,31.77,94,88,8.34,overcast clouds
71,Gurjaani,GE,2022-04-28 23:15:36,41.7429,45.8011,61.56,77,84,4.45,broken clouds
72,Hay River,CA,2022-04-28 23:15:37,60.8156,-115.7999,39.16,60,20,13.8,few clouds
73,Ponta Delgada,PT,2022-04-28 23:15:37,37.7333,-25.6667,63.5,88,75,21.85,light rain
74,Khatanga,RU,2022-04-28 23:15:37,71.9667,102.5,14.45,93,99,6.98,overcast clouds
75,Tasiilaq,GL,2022-04-28 23:15:38,65.6145,-37.6368,30.36,87,6,5.5,clear sky
76,Borogontsy,RU,2022-04-28 23:15:38,62.6683,131.1683,24.73,79,69,4.59,broken clouds
