City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Butaritari,KI,2022-03-23 01:32:54,3.0707,172.7902,81.14,73,58,17.72
59,Westport,US,2022-03-23 01:30:52,41.1415,-73.3579,49.82,31,0,8.05
60,Mankono,CI,2022-03-23 01:32:59,8.0586,-6.1897,79.03,66,54,7.02
61,Ushuaia,AR,2022-03-23 01:30:24,-54.8,-68.3,46.02,65,20,19.57
62,Saravan,AM,2022-03-23 01:32:59,39.7196,45.6483,19.29,84,97,6.55
63,Minab,IR,2022-03-23 01:33:00,27.1467,57.0801,64.72,55,0,1.14
64,Barrow,US,2022-03-23 01:29:30,71.2906,-156.7887,-11.18,70,0,11.5
65,Namibe,AO,2022-03-23 01:33:00,-15.1961,12.1522,75.07,77,100,3.74
66,Jamestown,US,2022-03-23 01:33:01,42.097,-79.2353,46.04,31,0,8.05
67,Muisne,EC,2022-03-23 01:33:01,0.6,-80.0333,77.74,88,100,4.61
68,Asau,RO,2022-03-23 01:29:42,46.4333,26.4,29.32,78,1,5.06
69,Guarapuava,BR,2022-03-23 01:33:02,-25.3953,-51.4581,61.79,83,61,6.69
70,Sistranda,NO,2022-03-23 01:33:02,63.7256,8.834,39.16,83,96,19.3
71,Katsuura,JP,2022-03-23 01:33:02,35.1333,140.3,49.37,55,77,18.43
72,Stornoway,GB,2022-03-23 01:33:03,58.2093,-6.3865,46.36,93,48,8.05
73,Leh,IN,2022-03-23 01:33:03,34.1667,77.5833,17.53,65,1,2.44
74,Cidreira,BR,2022-03-23 01:33:03,-30.1811,-50.2056,72.01,81,100,22.82
75,Bambous Virieux,MU,2022-03-23 01:33:04,-20.3428,57.7575,79.05,94,75,8.05
76,Grindavik,IS,2022-03-23 01:33:04,63.8424,-22.4338,41.47,100,100,5.75
77,Saskylakh,RU,2022-03-23 01:33:05,71.9167,114.0833,-9.63,98,94,2.28
78,Dalvik,IS,2022-03-23 01:33:05,65.9702,-18.5286,31.93,93,100,8.23
79,Honningsvag,NO,2022-03-23 01:33:05,70.9821,25.9704,28.15,74,100,21.85
80,Roma,US,2022-03-23 01:28:13,43.2128,-75.4557,35.51,60,0,7.0
81,Mardin,TR,2022-03-23 01:33:06,37.3131,40.7436,35.78,77,82,3.42
82,Orsha,BY,2022-03-23 01:33:06,54.5153,30.4053,28.96,98,62,0.4
83,Hervey Bay,AU,2022-03-23 01:33:07,-25.2986,152.8535,75.04,72,1,5.53
84,Alexandria,EG,2022-03-23 01:28:44,31.2156,29.9553,46.94,87,40,8.05
